task1	task2	thisN	thisTrialN	thisRepN	T0	T2	T1	lagT0	lagT1	lagT2	responseT1	responseT2	related	dist	key_resp_T1.keys	key_resp_T1.corr	key_resp_T2.keys	key_resp_T2.corr	key_resp_T2.rt	key_resp_T2.duration	press_to_continue.keys	press_to_continue.rt	press_to_continue.duration	key_resp_T1.rt	key_resp_T1.duration	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	trial.thisRepN	trial.thisTrialN	trial.thisN	trial.thisIndex	trials_T0_context.thisRepN	trials_T0_context.thisTrialN	trials_T0_context.thisN	trials_T0_context.thisIndex	trials_T1.thisRepN	trials_T1.thisTrialN	trials_T1.thisN	trials_T1.thisIndex	trials_T2.thisRepN	trials_T2.thisTrialN	trials_T2.thisN	trials_T2.thisIndex	thisRow.t	notes	instructions.started	text_instructions.started	key_resp.started	instructions.stopped	key_resp.keys	key_resp.rt	key_resp.duration	settings.started	settings.stopped	T0_context.started	context_word.started	blankContext.started	context_word.stopped	blankContext.stopped	T0_context.stopped	distractors_T0_T2.started	distractors_T0_T2.stopped	text_distractors_2.started	T1_number.started	text_T1.started	T1_number.stopped	distractors_T1.started	distractors_T1.stopped	T2_probe.started	text_T2.started	T2_probe.stopped	Ask_T1.started	Ask_T1.stopped	trial.key_resp_T1.keys	trial.key_resp_T1.corr	Ask_T2.started	blankT2_1.started	blankT2_1.stopped	text_T2ask.started	key_resp_T2.started	Ask_T2.stopped	trial.key_resp_T2.keys	trial.key_resp_T2.corr	trial.key_resp_T2.rt	trial.key_resp_T2.duration	text_distractors.started	text_distractors_2.stopped	text_T2.stopped	rest.started	text.started	press_to_continue.started	text.stopped	rest.stopped	block.press_to_continue.keys	block.press_to_continue.rt	block.press_to_continue.duration	text_T1.stopped	text_distractors.stopped	blankT1_1.started	text_T1ask.started	key_resp_T1.started	blankT1_1.stopped	trial.key_resp_T1.rt	trial.key_resp_T1.duration	participant	order [1: single-dual or 2: dual-single]	date	expName	psychopyVersion	frameRate	expStart	Column1
																																																2,8027E+15	2,0621E+15	2,0621E+15	3,39277E+16	space	3,34584E+15	None																																																					Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	GANSO	XPATOXX	0	7	1	12	i	i	1	ZTFYDXH												0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0					6,11581E+15									3,41197E+15	3,41246E+15	3,8481E+15	3,85389E+16	4,42191E+16	4,85609E+15	5,56435E+15	5,40642E+15	5,84258E+15	5,92246E+15	5,85607E+15	5,93371E+14	5,93913E+15	6,00512E+15	6,09565E+13	6,09569E+15																																					Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	GANSO	XPATOXX	0	7	1	12	i	i	1	YNPLRQW												0	0	0	0	0	0	0	0									0	0	0	7	6,39502E+15																	6,38147E+15	6,38155E+15							6,11009E+15	6,11581E+15	6,18945E+15																																		Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	1	1	0	GANSO	XPATOXX	0	7	1	12	i	i	1	YGLMSFQ												0	0	0	0	0	0	0	0									0	1	1	1	6,39502E+15																	6,38668E+16	6,38675E+16																																											Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	2	2	0	GANSO	XPATOXX	0	7	1	12	i	i	1	WMYFTGJ												0	0	0	0	0	0	0	0									0	2	2	6	6,39502E+15																	6,39096E+15	6,44002E+15	6,39502E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	3	3	0	GANSO	XPATOXX	0	7	1	12	i	i	1	WFXQGMY												0	0	0	0	0	0	0	0									0	3	3	11	6,45658E+15																	6,44446E+15	6,52406E+15	6,45658E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	4	4	0	GANSO	XPATOXX	0	7	1	12	i	i	1	GQKRPDL												0	0	0	0	0	0	0	0									0	4	4	5	6,54004E+15																	6,52813E+16	6,60748E+15	6,54004E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	5	5	0	GANSO	XPATOXX	0	7	1	12	i	i	1	VFDMHQS												0	0	0	0	0	0	0	0									0	5	5	8	6,62345E+15																	6,61118E+15	6,68988E+13	6,62345E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	6	6	0	GANSO	XPATOXX	0	7	1	12	i	i	1	HQTYPJM												0	0	0	0	0	0	0	0									0	6	6	9	6,70569E+15																	6,69476E+16	6,77256E+15	6,70569E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	7	7	0	GANSO	XPATOXX	0	7	1	12	i	i	1	ZJTSHFP												0	0	0	0	0	0	0	0									0	7	7	3	6,7894E+15																	6,77575E+14	6,85728E+15	6,7894E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
